tipo;bairro;valor;area;quartos;vagas;suites;banheiros;latitude;longitude;regiao;valor
APARTAMENTO;DE LOURDES;550000.0;75.0;2;2.0;1.0;2.0;-3.7460584;-38.4616513;REGIONAL 2;13.217675375388819
APARTAMENTO;MEIRELES;550000.0;126.0;3;2.0;3.0;4.0;-3.7460584;-38.4616513;REGIONAL 2;13.217675375388819
APARTAMENTO;ALDEOTA;550000.0;132.0;3;2.0;3.0;4.0;-3.7460584;-38.4616513;REGIONAL 2;13.217675375388819
APARTAMENTO;MEIRELES;550000.0;130.0;3;1.0;3.0;4.0;-3.7460584;-38.4616513;REGIONAL 2;13.217675375388819
APARTAMENTO;ALDEOTA;548000.0;138.0;3;2.0;3.0;4.0;-3.7460584;-38.4616513;REGIONAL 2;13.214032390746006
APARTAMENTO;CIDADE DOS FUNCIONÁRIOS;540000.0;235.0;4;3.0;4.0;5.0;-3.7460584;-38.4616513;REGIONAL 6;13.199326270390594
APARTAMENTO;CAMBEBA;530000.0;214.0;4;3.0;4.0;5.0;-3.7460584;-38.4616513;REGIONAL 6;13.180634172318978
APARTAMENTO;ALDEOTA;520000.0;117.0;3;1.0;2.0;3.0;-3.7460584;-38.4616513;REGIONAL 2;13.161586013632684
APARTAMENTO;ALDEOTA;520000.0;120.0;3;2.0;1.0;2.0;-3.7460584;-38.4616513;REGIONAL 2;13.161586013632684
APARTAMENTO;ALDEOTA;510000.0;126.0;3;2.0;3.0;4.0;-3.7460584;-38.4616513;REGIONAL 2;13.1421679654829
APARTAMENTO;DE LOURDES;504403.0;61.0;2;2.0;1.0;2.0;-3.7460584;-38.4616513;REGIONAL 2;13.131132813255574
APARTAMENTO;VARJOTA;500000.0;107.0;3;2.0;1.0;3.0;-3.7460584;-38.4616513;REGIONAL 2;13.122365377402328
APARTAMENTO;COCÓ;500000.0;194.0;5;2.0;1.0;4.0;-3.7460584;-38.4616513;REGIONAL 7;13.122365377402328
APARTAMENTO;COCÓ;500000.0;132.0;3;2.0;1.0;3.0;-3.7460584;-38.4616513;REGIONAL 7;13.122365377402328
APARTAMENTO;MONDUBIM;499900.0;148.0;3;4.0;3.0;4.0;-3.7460584;-38.4616513;REGIONAL 10;13.12216535779974
APARTAMENTO;JACARECANGA;478000.0;71.0;3;2.0;2.0;2.0;-3.7460584;-38.4616513;REGIONAL 1;13.077368103521614
APARTAMENTO;JACARECANGA;465000.0;70.0;3;2.0;2.0;2.0;-3.7460584;-38.4616513;REGIONAL 1;13.049794835104816
APARTAMENTO;DIONÍSIO TORRES;460000.0;126.0;3;1.0;2.0;4.0;-3.7460584;-38.4616513;REGIONAL 2;13.038983942375959
APARTAMENTO;MANUEL DIAS BRANCO;450000.0;176.0;4;2.0;2.0;4.0;-3.7460584;-38.4616513;REGIONAL 7;13.017005083966255
APARTAMENTO;SÃO GERARDO;450000.0;85.0;3;2.0;1.0;2.0;-3.7460584;-38.4616513;REGIONAL 3;13.017005083966255
APARTAMENTO;CIDADE DOS FUNCIONÁRIOS;450000.0;60.0;2;1.0;1.0;2.0;-3.7460584;-38.4616513;REGIONAL 6;13.017005083966255
APARTAMENTO;PAPICU;450000.0;112.0;3;1.0;1.0;3.0;-3.7460584;-38.4616513;REGIONAL 2;13.017005083966255
APARTAMENTO;SÃO GERARDO;450000.0;85.0;3;2.0;1.0;2.0;-3.7460584;-38.4616513;REGIONAL 3;13.017005083966255
APARTAMENTO;SÃO GERARDO;450000.0;85.0;3;2.0;1.0;2.0;-3.7460584;-38.4616513;REGIONAL 3;13.017005083966255
APARTAMENTO;PAPICU;449000.0;96.0;3;1.0;2.0;2.0;-3.7460584;-38.4616513;REGIONAL 2;13.014780393893403
APARTAMENTO;ALDEOTA;440000.0;120.0;3;2.0;2.0;4.0;-3.7460584;-38.4616513;REGIONAL 2;12.994532278619134
APARTAMENTO;MEIRELES;430000.0;51.0;2;1.0;1.0;2.0;-3.7460584;-38.4616513;REGIONAL 2;12.971542813248437
APARTAMENTO;FÁTIMA;420000.0;77.0;3;1.0;2.0;3.0;-3.7460584;-38.4616513;REGIONAL 4;12.948012371209098
APARTAMENTO;ALDEOTA;415200.0;37.0;1;1.0;1.0;1.0;-3.7460584;-38.4616513;REGIONAL 2;12.936518019308757
APARTAMENTO;PARANGABA;401567.08;54.0;2;1.0;1.0;2.0;-3.7460584;-38.4616513;REGIONAL 4;12.903132362129076
APARTAMENTO;COCÓ;400000.0;135.0;3;2.0;1.0;3.0;-3.7460584;-38.4616513;REGIONAL 7;12.899222326086994
APARTAMENTO;PASSARÉ;400000.0;71.0;3;2.0;1.0;2.0;-3.7460584;-38.4616513;REGIONAL 8;12.899222326086994
APARTAMENTO;PAPICU;387000.0;111.0;3;2.0;3.0;4.0;-3.7460584;-38.4616513;REGIONAL 2;12.866182555987908
APARTAMENTO;ALDEOTA;380000.0;113.0;3;2.0;1.0;2.0;-3.7460584;-38.4616513;REGIONAL 2;12.847929163278053
APARTAMENTO;SAPIRANGA/COITÉ;380000.0;90.0;3;2.0;3.0;4.0;-3.7460584;-38.4616513;REGIONAL 7;12.847929163278053
APARTAMENTO;DIONÍSIO TORRES;375000.0;133.0;3;2.0;2.0;4.0;-3.7460584;-38.4616513;REGIONAL 2;12.834683971615659
APARTAMENTO;MONDUBIM;370000.0;99.0;4;2.0;2.0;3.0;-3.7460584;-38.4616513;REGIONAL 10;12.821260987319457
APARTAMENTO;JACARECANGA;365000.0;56.0;2;1.0;1.0;1.0;-3.7460584;-38.4616513;REGIONAL 1;12.807655372286902
APARTAMENTO;VICENTE PINZÓN;360000.0;95.0;3;2.0;1.0;2.0;-3.7460584;-38.4616513;REGIONAL 2;12.793862088206213
APARTAMENTO;PAPICU;359990.0;110.0;3;3.0;2.0;4.0;-3.7460584;-38.4616513;REGIONAL 2;12.793834310119788
APARTAMENTO;PRAIA DO FUTURO II;350000.0;60.0;2;1.0;2.0;2.0;-3.7460584;-38.4616513;REGIONAL 7;12.765691290604371
APARTAMENTO;PARQUELÂNDIA;350000.0;95.0;3;2.0;1.0;2.0;-3.7460584;-38.4616513;REGIONAL 3;12.765691290604371
APARTAMENTO;COCÓ;350000.0;93.0;3;1.0;1.0;2.0;-3.7460584;-38.4616513;REGIONAL 7;12.765691290604371
APARTAMENTO;BENFICA;350000.0;95.0;3;1.0;1.0;3.0;-3.7460584;-38.4616513;REGIONAL 4;12.765691290604371
APARTAMENTO;JARDIM CEARENSE;345000.0;53.0;2;2.0;1.0;1.0;-3.7460584;-38.4616513;REGIONAL 10;12.75130259456002
APARTAMENTO;JACARECANGA;341000.0;53.0;2;1.0;1.0;1.0;-3.7460584;-38.4616513;REGIONAL 1;12.739640688812674
APARTAMENTO;COCÓ;340000.0;100.0;3;2.0;1.0;3.0;-3.7460584;-38.4616513;REGIONAL 7;12.73670383776449
APARTAMENTO;PAPICU;340000.0;100.0;2;1.0;1.0;3.0;-3.7460584;-38.4616513;REGIONAL 2;12.73670383776449
APARTAMENTO;MUCURIPE;340000.0;68.0;3;2.0;1.0;2.0;-3.7460584;-38.4616513;REGIONAL 2;12.73670383776449
APARTAMENTO;MONDUBIM;360000.0;115.0;2;1.0;1.0;3.0;-3.7460584;-38.4616513;REGIONAL 10;12.793862088206213
APARTAMENTO;PASSARÉ;330000.0;48.0;2;2.0;2.0;2.0;-3.7460584;-38.4616513;REGIONAL 8;12.706850963741102
APARTAMENTO;JOAQUIM TÁVORA;320000.0;126.0;3;2.0;1.0;3.0;-3.7460584;-38.4616513;REGIONAL 2;12.676079399771027
APARTAMENTO;PARQUELÂNDIA;320000.0;111.0;3;1.0;1.0;3.0;-3.7460584;-38.4616513;REGIONAL 3;12.676079399771027
APARTAMENTO;JOAQUIM TÁVORA;320000.0;130.0;2;1.0;1.0;2.0;-3.7460584;-38.4616513;REGIONAL 2;12.676079399771027
APARTAMENTO;MEIRELES;330000.0;84.0;3;1.0;1.0;2.0;-3.7460584;-38.4616513;REGIONAL 2;12.706850963741102
APARTAMENTO;ALDEOTA;312000.0;110.0;3;1.0;1.0;3.0;-3.7460584;-38.4616513;REGIONAL 2;12.650761671914688
APARTAMENTO;PAPICU;350000.0;110.0;4;2.0;1.0;3.0;-3.7460584;-38.4616513;REGIONAL 2;12.765691290604371
APARTAMENTO;FARIAS BRITO;300000.0;115.0;3;1.0;2.0;3.0;-3.7460584;-38.4616513;REGIONAL 3;12.611541086966115
APARTAMENTO;PAPICU;300000.0;87.0;3;2.0;1.0;3.0;-3.7460584;-38.4616513;REGIONAL 2;12.611541086966115
APARTAMENTO;PARREÃO;300000.0;60.0;2;1.0;1.0;2.0;-3.7460584;-38.4616513;REGIONAL 4;12.611541086966115
APARTAMENTO;VICENTE PINZÓN;290000.0;56.0;2;1.0;2.0;2.0;-3.7460584;-38.4616513;REGIONAL 2;12.577639650232573
APARTAMENTO;JOAQUIM TÁVORA;285000.0;67.0;3;1.0;1.0;2.0;-3.7460584;-38.4616513;REGIONAL 2;12.560247968016562
APARTAMENTO;DAMAS;285000.0;69.0;2;2.0;1.0;2.0;-3.7460584;-38.4616513;REGIONAL 4;12.560247968016562
APARTAMENTO;COUTO FERNANDES;280000.0;60.0;3;2.0;1.0;2.0;-3.7460584;-38.4616513;REGIONAL 11;12.54254845357358
APARTAMENTO;DIONÍSIO TORRES;280000.0;108.0;3;1.0;1.0;3.0;-3.7460584;-38.4616513;REGIONAL 2;12.54254845357358
APARTAMENTO;SAPIRANGA/COITÉ;278000.0;60.0;2;2.0;1.0;2.0;-3.7460584;-38.4616513;REGIONAL 7;12.535379989788607
APARTAMENTO;MONTE CASTELO;275000.0;71.0;3;1.0;1.0;2.0;-3.7460584;-38.4616513;REGIONAL 3;12.524530013005734
APARTAMENTO;BARROSO;270000.0;83.0;3;2.0;2.0;3.0;-3.7460584;-38.4616513;REGIONAL 9;12.506180941677357
APARTAMENTO;COCÓ;260000.0;206.0;4;2.0;2.0;3.0;-3.7460584;-38.4616513;REGIONAL 7;12.468440756144114
APARTAMENTO;PASSARÉ;260000.0;51.0;2;2.0;1.0;2.0;-3.7460584;-38.4616513;REGIONAL 8;12.468440756144114
